Name           Surname        Final (Avg.)        |    Final (Med.)
Name39         Surname39      2.32                |    2.40
Name391        Surname391     3.40                |    3.00
Name398        Surname398     1.04                |    0.80
Name399        Surname399     4.12                |    4.20
Name4          Surname4       1.68                |    1.60
Name400        Surname400     4.00                |    4.40
Name401        Surname401     2.36                |    2.20
Name403        Surname403     2.80                |    2.80
Name404        Surname404     4.80                |    4.80
Name405        Surname405     2.56                |    1.60
Name406        Surname406     2.48                |    2.40
Name407        Surname407     3.80                |    3.80
Name41         Surname41      4.24                |    3.60
Name410        Surname410     4.40                |    4.40
Name412        Surname412     3.24                |    3.80
Name416        Surname416     1.76                |    1.60
Name417        Surname417     3.64                |    3.40
Name418        Surname418     4.72                |    4.40
Name42         Surname42      4.00                |    3.60
Name420        Surname420     3.84                |    3.20
Name423        Surname423     4.56                |    4.00
Name426        Surname426     1.96                |    1.80
Name431        Surname431     4.00                |    4.40
Name439        Surname439     2.84                |    2.60
Name44         Surname44      2.68                |    2.60
Name440        Surname440     3.00                |    2.60
Name442        Surname442     3.88                |    4.20
Name446        Surname446     2.36                |    2.60
Name450        Surname450     3.96                |    3.80
Name452        Surname452     4.04                |    4.20
Name455        Surname455     3.64                |    3.40
Name456        Surname456     3.24                |    3.00
Name457        Surname457     2.48                |    2.80
Name462        Surname462     0.96                |    0.00
Name463        Surname463     3.76                |    3.60
Name464        Surname464     4.36                |    4.60
Name467        Surname467     3.44                |    3.20
Name469        Surname469     3.24                |    3.40
Name47         Surname47      2.84                |    3.40
Name472        Surname472     3.44                |    3.20
Name477        Surname477     2.60                |    3.40
Name478        Surname478     4.72                |    4.40
Name48         Surname48      4.36                |    4.60
Name481        Surname481     2.36                |    2.20
Name482        Surname482     3.80                |    3.80
Name483        Surname483     2.48                |    2.40
Name485        Surname485     3.00                |    2.60
Name488        Surname488     4.20                |    3.80
Name490        Surname490     2.24                |    2.40
Name491        Surname491     2.32                |    2.80
Name494        Surname494     4.16                |    3.60
Name495        Surname495     2.76                |    3.00
Name496        Surname496     2.08                |    2.80
Name498        Surname498     2.16                |    2.80
Name5          Surname5       4.56                |    4.40
Name503        Surname503     4.48                |    4.80
Name508        Surname508     2.76                |    3.00
Name509        Surname509     3.56                |    3.80
Name512        Surname512     3.28                |    3.60
Name515        Surname515     4.32                |    4.40
Name516        Surname516     2.44                |    2.60
Name517        Surname517     4.72                |    4.80
Name518        Surname518     2.08                |    2.00
Name521        Surname521     2.36                |    2.60
Name522        Surname522     4.08                |    4.40
Name523        Surname523     2.68                |    3.00
Name528        Surname528     2.88                |    3.20
Name532        Surname532     2.44                |    2.20
Name535        Surname535     4.72                |    4.40
Name536        Surname536     3.60                |    3.20
Name539        Surname539     1.60                |    2.00
Name54         Surname54      3.96                |    3.40
Name540        Surname540     2.76                |    2.60
Name541        Surname541     4.16                |    3.60
Name542        Surname542     2.96                |    2.80
Name543        Surname543     3.08                |    3.00
Name55         Surname55      4.44                |    4.20
Name557        Surname557     1.60                |    1.60
Name558        Surname558     3.40                |    2.60
Name560        Surname560     3.60                |    3.20
Name561        Surname561     3.04                |    3.20
Name562        Surname562     3.52                |    4.00
Name565        Surname565     4.24                |    4.00
Name566        Surname566     4.04                |    3.40
Name567        Surname567     3.36                |    3.20
Name568        Surname568     2.88                |    2.40
Name569        Surname569     3.08                |    3.00
Name570        Surname570     3.24                |    2.20
Name571        Surname571     2.92                |    3.40
Name572        Surname572     1.80                |    1.40
Name573        Surname573     2.60                |    2.60
Name575        Surname575     3.00                |    2.60
Name578        Surname578     2.80                |    2.40
Name579        Surname579     3.88                |    4.60
Name58         Surname58      2.40                |    2.00
Name580        Surname580     3.08                |    3.00
Name581        Surname581     2.84                |    3.00
Name583        Surname583     2.92                |    3.00
Name584        Surname584     3.40                |    3.80
Name587        Surname587     2.00                |    2.00
Name589        Surname589     4.28                |    4.20
Name59         Surname59      2.24                |    2.00
Name590        Surname590     1.92                |    2.40
Name591        Surname591     1.92                |    2.80
Name592        Surname592     3.16                |    2.60
Name593        Surname593     4.60                |    4.20
Name594        Surname594     3.92                |    3.20
Name595        Surname595     2.08                |    2.80
Name596        Surname596     2.32                |    2.00
Name597        Surname597     3.04                |    3.20
Name598        Surname598     4.44                |    4.20
Name599        Surname599     3.12                |    2.80
Name600        Surname600     2.72                |    2.80
Name602        Surname602     4.04                |    4.60
Name604        Surname604     3.24                |    3.00
Name605        Surname605     4.52                |    4.60
Name606        Surname606     4.48                |    4.40
Name608        Surname608     3.40                |    3.40
Name609        Surname609     3.60                |    3.60
Name610        Surname610     3.08                |    3.00
Name614        Surname614     3.32                |    3.80
Name617        Surname617     2.40                |    2.80
Name618        Surname618     3.64                |    3.80
Name62         Surname62      4.36                |    4.60
Name620        Surname620     2.48                |    2.40
Name623        Surname623     2.00                |    2.00
Name627        Surname627     2.08                |    2.00
Name628        Surname628     3.16                |    2.60
Name63         Surname63      3.80                |    4.20
Name631        Surname631     3.48                |    3.80
Name633        Surname633     4.16                |    4.00
Name634        Surname634     3.04                |    3.20
Name635        Surname635     2.56                |    2.80
Name636        Surname636     3.32                |    3.40
Name637        Surname637     3.36                |    2.80
Name64         Surname64      4.48                |    4.80
Name640        Surname640     4.36                |    4.60
Name642        Surname642     2.48                |    2.40
Name645        Surname645     2.00                |    2.80
Name646        Surname646     3.04                |    3.20
Name647        Surname647     2.80                |    3.20
Name650        Surname650     3.56                |    3.40
Name651        Surname651     4.84                |    4.20
Name652        Surname652     3.20                |    3.20
Name654        Surname654     1.04                |    0.80
Name656        Surname656     2.64                |    2.80
Name661        Surname661     2.64                |    2.80
Name663        Surname663     1.60                |    1.20
Name664        Surname664     3.92                |    4.40
Name665        Surname665     2.32                |    2.00
Name666        Surname666     4.24                |    3.60
Name668        Surname668     2.24                |    2.00
Name669        Surname669     4.48                |    4.40
Name67         Surname67      2.80                |    2.80
Name670        Surname670     4.28                |    4.60
Name673        Surname673     4.20                |    3.80
Name674        Surname674     4.36                |    4.20
Name675        Surname675     2.72                |    2.40
Name68         Surname68      2.52                |    2.60
Name680        Surname680     2.52                |    2.60
Name683        Surname683     3.80                |    3.40
Name684        Surname684     3.68                |    4.00
Name687        Surname687     2.08                |    2.00
Name693        Surname693     2.28                |    2.60
Name694        Surname694     1.28                |    1.20
Name697        Surname697     1.76                |    2.00
Name700        Surname700     2.92                |    2.60
Name701        Surname701     4.40                |    4.80
Name702        Surname702     2.52                |    2.20
Name703        Surname703     3.56                |    3.80
Name709        Surname709     2.00                |    1.60
Name710        Surname710     2.56                |    3.20
Name713        Surname713     3.32                |    3.40
Name715        Surname715     1.52                |    2.00
Name716        Surname716     2.88                |    2.40
Name719        Surname719     2.08                |    2.00
Name72         Surname72      4.08                |    4.00
Name720        Surname720     4.36                |    4.20
Name724        Surname724     4.44                |    4.60
Name725        Surname725     2.16                |    2.00
Name727        Surname727     1.96                |    2.20
Name728        Surname728     3.04                |    2.80
Name730        Surname730     2.92                |    2.60
Name732        Surname732     2.88                |    3.20
Name734        Surname734     2.32                |    2.40
Name736        Surname736     4.48                |    4.00
Name737        Surname737     1.44                |    1.60
Name739        Surname739     2.08                |    2.80
Name74         Surname74      3.72                |    3.00
Name740        Surname740     4.12                |    4.20
Name741        Surname741     3.96                |    4.20
Name742        Surname742     1.20                |    1.20
Name743        Surname743     4.24                |    4.00
Name748        Surname748     2.08                |    2.40
Name755        Surname755     4.60                |    4.60
Name758        Surname758     2.44                |    2.20
Name759        Surname759     3.28                |    2.80
Name76         Surname76      3.92                |    4.00
Name761        Surname761     2.48                |    2.80
Name763        Surname763     3.00                |    2.60
Name764        Surname764     2.08                |    2.00
Name766        Surname766     4.32                |    4.40
Name767        Surname767     1.92                |    2.00
Name769        Surname769     2.72                |    1.60
Name772        Surname772     3.68                |    3.20
Name774        Surname774     4.88                |    4.00
Name775        Surname775     2.72                |    3.20
Name779        Surname779     4.04                |    4.20
Name780        Surname780     3.24                |    2.60
Name781        Surname781     3.44                |    4.00
Name783        Surname783     2.84                |    3.00
Name784        Surname784     1.44                |    1.20
Name789        Surname789     2.04                |    2.60
Name791        Surname791     2.24                |    2.00
Name793        Surname793     4.24                |    4.80
Name794        Surname794     3.28                |    3.20
Name795        Surname795     4.32                |    4.40
Name798        Surname798     3.88                |    4.20
Name799        Surname799     3.44                |    3.60
Name8          Surname8       4.36                |    4.20
Name80         Surname80      2.20                |    1.40
Name801        Surname801     3.72                |    4.60
Name804        Surname804     3.88                |    4.20
Name806        Surname806     3.04                |    3.20
Name807        Surname807     3.12                |    3.60
Name81         Surname81      3.40                |    3.40
Name811        Surname811     1.36                |    0.80
Name816        Surname816     4.80                |    4.80
Name817        Surname817     1.48                |    1.00
Name818        Surname818     2.56                |    2.00
Name82         Surname82      1.36                |    1.20
Name820        Surname820     1.20                |    0.40
Name824        Surname824     2.00                |    1.20
Name825        Surname825     1.12                |    0.80
Name826        Surname826     2.40                |    2.00
Name829        Surname829     3.64                |    3.40
Name83         Surname83      2.04                |    1.80
Name831        Surname831     4.20                |    4.20
Name832        Surname832     4.60                |    4.60
Name835        Surname835     1.60                |    1.60
Name837        Surname837     4.04                |    3.40
Name838        Surname838     3.12                |    3.20
Name84         Surname84      3.36                |    3.60
Name842        Surname842     2.68                |    2.60
Name843        Surname843     3.12                |    3.20
Name846        Surname846     4.08                |    4.00
Name847        Surname847     3.12                |    2.80
Name849        Surname849     2.08                |    2.40
Name856        Surname856     4.72                |    4.80
Name857        Surname857     3.80                |    3.40
Name858        Surname858     4.08                |    4.00
Name859        Surname859     2.32                |    2.40
Name86         Surname86      2.88                |    2.80
Name864        Surname864     3.28                |    3.60
Name866        Surname866     2.80                |    2.40
Name867        Surname867     2.88                |    2.40
Name868        Surname868     1.12                |    0.80
Name869        Surname869     2.28                |    2.20
Name870        Surname870     2.08                |    1.20
Name873        Surname873     2.96                |    3.60
Name875        Surname875     4.32                |    4.80
Name876        Surname876     2.56                |    2.40
Name877        Surname877     1.92                |    2.00
Name878        Surname878     4.36                |    4.60
Name880        Surname880     4.04                |    4.20
Name881        Surname881     3.28                |    3.20
Name882        Surname882     3.84                |    2.80
Name883        Surname883     2.68                |    2.20
Name884        Surname884     1.72                |    1.80
Name888        Surname888     1.52                |    1.20
Name89         Surname89      3.60                |    4.00
Name890        Surname890     1.84                |    1.60
Name891        Surname891     4.32                |    4.40
Name892        Surname892     4.16                |    4.40
Name896        Surname896     3.76                |    3.60
Name897        Surname897     4.12                |    3.40
Name90         Surname90      1.44                |    0.80
Name902        Surname902     3.56                |    3.40
Name903        Surname903     1.28                |    1.20
Name904        Surname904     3.56                |    3.80
Name905        Surname905     4.36                |    4.60
Name907        Surname907     3.16                |    3.40
Name909        Surname909     1.88                |    1.40
Name91         Surname91      4.24                |    4.00
Name911        Surname911     4.68                |    4.20
Name915        Surname915     2.68                |    3.40
Name918        Surname918     4.00                |    3.60
Name919        Surname919     2.84                |    3.00
Name92         Surname92      2.24                |    2.00
Name924        Surname924     2.12                |    1.80
Name925        Surname925     3.84                |    4.00
Name928        Surname928     2.96                |    2.80
Name929        Surname929     3.88                |    3.80
Name930        Surname930     4.32                |    4.40
Name932        Surname932     1.28                |    1.20
Name934        Surname934     2.40                |    3.20
Name936        Surname936     3.84                |    3.60
Name94         Surname94      3.72                |    3.80
Name940        Surname940     3.88                |    4.20
Name942        Surname942     3.52                |    3.60
Name944        Surname944     4.28                |    4.20
Name945        Surname945     3.52                |    3.20
Name948        Surname948     0.88                |    0.80
Name949        Surname949     4.56                |    4.40
Name95         Surname95      2.56                |    2.40
Name953        Surname953     2.52                |    2.60
Name956        Surname956     4.08                |    4.00
Name957        Surname957     2.32                |    2.40
Name958        Surname958     1.84                |    1.60
Name959        Surname959     2.64                |    1.60
Name96         Surname96      0.88                |    0.40
Name961        Surname961     4.36                |    4.20
Name962        Surname962     4.12                |    4.20
Name964        Surname964     2.84                |    3.80
Name971        Surname971     2.08                |    2.40
Name973        Surname973     4.88                |    4.40
Name976        Surname976     3.64                |    4.20
Name977        Surname977     3.04                |    3.60
Name978        Surname978     1.08                |    1.00
Name981        Surname981     3.16                |    3.40
Name984        Surname984     4.88                |    4.40
Name99         Surname99      3.72                |    4.20
Name991        Surname991     3.28                |    3.20
Name992        Surname992     2.44                |    2.20
Name993        Surname993     3.76                |    3.60
Name996        Surname996     4.80                |    4.80
Name997        Surname997     2.88                |    2.40
Name999        Surname999     2.88                |    3.60
