Name           Surname        Final (Avg.)        |    Final (Med.)
Name239        Surname239     6.84                |    6.20
Name244        Surname244     5.40                |    5.00
Name248        Surname248     6.40                |    6.40
Name249        Surname249     4.84                |    5.40
Name25         Surname25      6.92                |    7.40
Name254        Surname254     6.80                |    6.80
Name260        Surname260     5.00                |    5.40
Name261        Surname261     7.20                |    7.20
Name262        Surname262     7.40                |    8.20
Name263        Surname263     5.32                |    5.40
Name269        Surname269     5.36                |    5.20
Name27         Surname27      6.32                |    6.40
Name271        Surname271     6.92                |    6.60
Name275        Surname275     6.40                |    6.80
Name277        Surname277     5.52                |    5.20
Name278        Surname278     4.64                |    5.60
Name279        Surname279     6.68                |    6.20
Name28         Surname28      7.24                |    7.00
Name280        Surname280     5.20                |    5.20
Name286        Surname286     4.88                |    5.20
Name289        Surname289     7.08                |    6.60
Name29         Surname29      5.04                |    5.60
Name290        Surname290     4.88                |    5.20
Name291        Surname291     6.64                |    7.20
Name292        Surname292     5.64                |    5.80
Name293        Surname293     5.28                |    4.80
Name294        Surname294     5.56                |    5.00
Name298        Surname298     5.80                |    5.40
Name3          Surname3       4.68                |    5.40
Name30         Surname30      7.48                |    7.80
Name301        Surname301     7.80                |    8.20
Name303        Surname303     6.92                |    7.00
Name307        Surname307     5.20                |    5.20
Name309        Surname309     4.68                |    5.40
Name31         Surname31      6.84                |    7.40
Name310        Surname310     5.80                |    5.80
Name318        Surname318     6.36                |    6.60
Name321        Surname321     7.68                |    8.00
Name322        Surname322     5.16                |    4.20
Name323        Surname323     5.28                |    5.20
Name325        Surname325     6.00                |    6.00
Name326        Surname326     7.48                |    7.80
Name327        Surname327     5.60                |    5.20
Name328        Surname328     7.12                |    6.80
Name332        Surname332     7.16                |    7.00
Name34         Surname34      5.48                |    5.80
Name341        Surname341     4.84                |    5.00
Name342        Surname342     7.04                |    6.80
Name343        Surname343     7.04                |    7.20
Name344        Surname344     6.60                |    7.00
Name346        Surname346     4.68                |    5.00
Name347        Surname347     7.40                |    7.40
Name349        Surname349     4.20                |    5.00
Name351        Surname351     8.12                |    8.20
Name353        Surname353     7.24                |    7.40
Name354        Surname354     6.24                |    6.40
Name355        Surname355     6.96                |    6.40
Name357        Surname357     4.92                |    5.00
Name358        Surname358     6.08                |    6.80
Name359        Surname359     4.88                |    5.60
Name36         Surname36      5.92                |    6.00
Name360        Surname360     5.56                |    5.80
Name364        Surname364     8.44                |    8.60
Name366        Surname366     5.16                |    5.00
Name372        Surname372     5.80                |    6.20
Name378        Surname378     6.52                |    6.20
Name381        Surname381     6.96                |    6.80
Name383        Surname383     6.08                |    6.00
Name384        Surname384     5.20                |    5.20
Name385        Surname385     7.56                |    7.80
Name387        Surname387     5.92                |    6.00
Name390        Surname390     7.08                |    6.60
Name392        Surname392     7.04                |    7.20
Name393        Surname393     5.20                |    5.20
Name394        Surname394     7.16                |    7.00
Name395        Surname395     5.96                |    5.80
Name396        Surname396     5.20                |    4.80
Name397        Surname397     5.28                |    6.00
Name40         Surname40      6.72                |    6.80
Name402        Surname402     5.76                |    5.60
Name408        Surname408     5.44                |    5.20
Name409        Surname409     4.68                |    5.00
Name411        Surname411     5.96                |    6.20
Name413        Surname413     6.96                |    7.60
Name414        Surname414     5.44                |    4.80
Name415        Surname415     6.20                |    6.20
Name419        Surname419     5.40                |    5.00
Name421        Surname421     6.48                |    6.40
Name422        Surname422     4.96                |    5.20
Name424        Surname424     5.60                |    5.60
Name425        Surname425     5.08                |    4.60
Name427        Surname427     5.12                |    5.60
Name428        Surname428     6.80                |    7.20
Name429        Surname429     5.12                |    4.00
Name43         Surname43      8.52                |    8.60
Name430        Surname430     5.28                |    4.80
Name432        Surname432     8.68                |    9.00
Name433        Surname433     5.64                |    5.80
Name434        Surname434     6.16                |    5.60
Name435        Surname435     6.04                |    6.20
Name436        Surname436     5.92                |    6.00
Name437        Surname437     6.04                |    5.40
Name438        Surname438     5.44                |    5.20
Name441        Surname441     7.20                |    7.20
Name443        Surname443     6.80                |    6.80
Name444        Surname444     4.64                |    5.20
Name445        Surname445     7.20                |    8.00
Name447        Surname447     5.12                |    5.20
Name448        Surname448     6.24                |    6.40
Name449        Surname449     5.32                |    5.40
Name45         Surname45      5.36                |    4.80
Name451        Surname451     6.92                |    6.60
Name453        Surname453     5.32                |    5.00
Name454        Surname454     7.00                |    7.00
Name458        Surname458     5.08                |    5.00
Name459        Surname459     6.72                |    6.40
Name46         Surname46      7.40                |    7.80
Name460        Surname460     6.72                |    6.80
Name461        Surname461     5.20                |    5.20
Name465        Surname465     5.20                |    5.20
Name466        Surname466     5.08                |    4.60
Name468        Surname468     6.36                |    6.60
Name470        Surname470     6.56                |    6.40
Name471        Surname471     6.64                |    6.40
Name473        Surname473     7.00                |    7.40
Name474        Surname474     6.16                |    6.00
Name475        Surname475     6.52                |    6.60
Name476        Surname476     5.64                |    6.20
Name479        Surname479     5.88                |    6.20
Name480        Surname480     5.32                |    5.00
Name484        Surname484     4.44                |    5.00
Name486        Surname486     6.20                |    6.60
Name487        Surname487     6.44                |    6.20
Name489        Surname489     7.08                |    6.60
Name49         Surname49      7.28                |    7.60
Name492        Surname492     5.92                |    6.40
Name493        Surname493     7.36                |    7.20
Name497        Surname497     5.44                |    5.20
Name499        Surname499     6.68                |    7.00
Name50         Surname50      5.36                |    5.20
Name500        Surname500     7.48                |    7.00
Name501        Surname501     5.52                |    5.60
Name502        Surname502     7.56                |    7.80
Name504        Surname504     5.88                |    5.80
Name505        Surname505     7.24                |    7.80
Name506        Surname506     4.40                |    5.20
Name507        Surname507     6.88                |    7.20
Name51         Surname51      5.20                |    4.80
Name510        Surname510     6.52                |    6.60
Name511        Surname511     5.32                |    5.40
Name513        Surname513     5.68                |    4.80
Name514        Surname514     7.48                |    7.40
Name519        Surname519     7.64                |    8.20
Name52         Surname52      5.20                |    6.00
Name520        Surname520     6.08                |    5.60
Name524        Surname524     5.80                |    5.40
Name525        Surname525     5.08                |    5.00
Name526        Surname526     5.04                |    5.60
Name527        Surname527     7.88                |    8.20
Name529        Surname529     6.44                |    5.80
Name53         Surname53      7.48                |    7.80
Name530        Surname530     6.12                |    6.60
Name531        Surname531     5.16                |    5.40
Name533        Surname533     7.04                |    7.60
Name534        Surname534     5.28                |    5.60
Name537        Surname537     5.96                |    5.80
Name538        Surname538     6.52                |    6.20
Name544        Surname544     4.92                |    5.00
Name545        Surname545     7.24                |    7.40
Name546        Surname546     6.92                |    6.20
Name547        Surname547     8.36                |    9.00
Name548        Surname548     5.76                |    6.00
Name549        Surname549     5.84                |    5.60
Name550        Surname550     5.68                |    5.20
Name551        Surname551     6.68                |    6.60
Name552        Surname552     6.16                |    5.60
Name553        Surname553     5.56                |    6.20
Name554        Surname554     8.20                |    9.00
Name555        Surname555     5.04                |    4.80
Name556        Surname556     5.84                |    6.00
Name559        Surname559     6.36                |    6.60
Name56         Surname56      7.16                |    7.00
Name563        Surname563     6.72                |    7.20
Name564        Surname564     5.52                |    5.60
Name57         Surname57      5.16                |    5.00
Name574        Surname574     6.24                |    5.60
Name576        Surname576     5.44                |    6.00
Name577        Surname577     7.12                |    7.20
Name582        Surname582     6.28                |    5.80
Name585        Surname585     7.72                |    8.20
Name586        Surname586     5.04                |    4.80
Name588        Surname588     7.80                |    7.80
Name6          Surname6       5.28                |    5.20
Name60         Surname60      6.84                |    7.40
Name601        Surname601     7.40                |    7.80
Name603        Surname603     5.00                |    5.40
Name607        Surname607     7.44                |    7.20
Name61         Surname61      6.76                |    6.60
Name611        Surname611     5.88                |    5.80
Name612        Surname612     5.48                |    5.40
Name613        Surname613     6.52                |    6.60
Name615        Surname615     5.44                |    5.20
Name616        Surname616     6.00                |    6.00
Name619        Surname619     5.92                |    6.00
Name621        Surname621     6.28                |    6.60
Name622        Surname622     5.88                |    5.40
Name624        Surname624     7.24                |    7.40
Name625        Surname625     7.08                |    7.40
Name626        Surname626     6.80                |    7.20
Name629        Surname629     7.24                |    7.00
Name630        Surname630     6.32                |    6.00
Name632        Surname632     6.40                |    6.40
Name638        Surname638     5.20                |    5.20
Name639        Surname639     5.32                |    5.80
Name641        Surname641     7.40                |    8.20
Name643        Surname643     5.00                |    5.80
Name644        Surname644     7.64                |    7.00
Name648        Surname648     6.92                |    6.20
Name649        Surname649     7.24                |    8.20
Name65         Surname65      5.20                |    5.20
Name653        Surname653     4.84                |    5.00
Name655        Surname655     6.04                |    6.20
Name657        Surname657     6.52                |    6.20
Name658        Surname658     6.56                |    6.40
Name659        Surname659     6.92                |    6.60
Name66         Surname66      6.80                |    7.20
Name660        Surname660     5.28                |    5.60
Name662        Surname662     5.60                |    6.00
Name667        Surname667     5.68                |    5.20
Name671        Surname671     4.64                |    5.20
Name672        Surname672     8.52                |    9.00
Name676        Surname676     7.40                |    7.00
Name677        Surname677     6.52                |    6.60
Name678        Surname678     5.80                |    5.80
Name679        Surname679     5.04                |    4.80
Name681        Surname681     6.76                |    7.40
Name682        Surname682     5.48                |    5.80
Name685        Surname685     6.44                |    7.00
Name686        Surname686     5.20                |    4.80
Name688        Surname688     4.92                |    5.00
Name689        Surname689     5.96                |    5.80
Name69         Surname69      5.92                |    6.80
Name690        Surname690     5.36                |    6.00
Name691        Surname691     6.04                |    5.80
Name692        Surname692     4.88                |    5.60
Name695        Surname695     7.08                |    7.00
Name696        Surname696     6.84                |    7.00
Name698        Surname698     5.40                |    5.00
Name699        Surname699     5.88                |    5.80
Name7          Surname7       5.84                |    6.00
Name70         Surname70      6.88                |    6.80
Name704        Surname704     6.68                |    6.60
Name705        Surname705     4.92                |    5.00
Name706        Surname706     5.36                |    5.60
Name707        Surname707     7.72                |    7.80
Name708        Surname708     5.52                |    6.00
Name71         Surname71      5.36                |    5.20
Name711        Surname711     6.04                |    5.40
Name712        Surname712     6.12                |    6.20
Name714        Surname714     7.32                |    7.40
Name717        Surname717     7.88                |    7.80
Name718        Surname718     6.88                |    7.20
Name721        Surname721     5.32                |    5.00
Name722        Surname722     4.76                |    5.00
Name723        Surname723     5.68                |    6.00
Name726        Surname726     6.92                |    7.00
Name729        Surname729     7.80                |    7.40
Name73         Surname73      4.32                |    5.20
Name731        Surname731     7.12                |    7.20
Name733        Surname733     6.48                |    6.00
Name735        Surname735     7.88                |    8.20
Name738        Surname738     6.80                |    6.80
Name744        Surname744     4.92                |    5.00
Name745        Surname745     6.00                |    5.60
Name746        Surname746     5.72                |    5.40
Name747        Surname747     7.80                |    7.80
Name749        Surname749     7.00                |    6.60
Name75         Surname75      7.56                |    7.40
Name750        Surname750     8.08                |    8.40
Name751        Surname751     5.48                |    5.40
Name752        Surname752     5.60                |    6.00
Name753        Surname753     7.24                |    7.80
Name754        Surname754     6.72                |    6.80
Name756        Surname756     6.12                |    5.80
Name757        Surname757     7.60                |    7.60
Name760        Surname760     5.32                |    5.40
Name762        Surname762     4.88                |    5.20
Name765        Surname765     8.12                |    8.60
Name768        Surname768     6.72                |    7.20
Name77         Surname77      6.28                |    6.20
Name770        Surname770     6.72                |    7.20
Name771        Surname771     7.24                |    6.60
Name773        Surname773     6.92                |    7.40
Name776        Surname776     8.20                |    7.80
Name777        Surname777     6.56                |    6.80
Name778        Surname778     6.32                |    6.00
Name78         Surname78      6.96                |    7.60
Name782        Surname782     7.28                |    8.00
Name785        Surname785     5.20                |    5.20
Name786        Surname786     7.64                |    7.40
Name787        Surname787     6.76                |    6.20
Name788        Surname788     5.80                |    5.80
Name79         Surname79      5.68                |    5.60
Name790        Surname790     6.32                |    6.40
Name792        Surname792     7.16                |    7.40
Name796        Surname796     5.00                |    5.00
Name797        Surname797     6.56                |    6.00
Name800        Surname800     8.20                |    8.20
Name802        Surname802     7.36                |    7.60
Name803        Surname803     5.40                |    5.00
Name805        Surname805     6.28                |    6.60
Name808        Surname808     6.40                |    5.60
Name809        Surname809     6.24                |    6.80
Name810        Surname810     6.64                |    6.00
Name812        Surname812     4.76                |    5.00
Name813        Surname813     5.88                |    5.40
Name814        Surname814     5.08                |    5.00
Name815        Surname815     5.64                |    6.20
Name819        Surname819     5.84                |    6.00
Name821        Surname821     7.96                |    8.20
Name822        Surname822     6.44                |    6.20
Name823        Surname823     6.00                |    6.40
Name827        Surname827     5.68                |    5.60
Name828        Surname828     6.28                |    6.60
Name830        Surname830     5.00                |    5.00
Name833        Surname833     5.36                |    5.60
Name834        Surname834     6.04                |    5.80
Name836        Surname836     6.40                |    6.80
Name839        Surname839     5.32                |    5.40
Name840        Surname840     6.00                |    5.60
Name841        Surname841     6.64                |    6.80
Name844        Surname844     7.64                |    8.20
Name845        Surname845     6.40                |    5.60
Name848        Surname848     6.84                |    6.20
Name85         Surname85      5.72                |    5.40
Name850        Surname850     6.56                |    6.80
Name851        Surname851     5.20                |    5.60
Name852        Surname852     5.56                |    5.40
Name853        Surname853     6.88                |    7.60
Name854        Surname854     8.44                |    9.00
Name855        Surname855     7.16                |    6.60
Name860        Surname860     6.84                |    6.20
Name861        Surname861     4.96                |    5.60
Name862        Surname862     5.64                |    5.80
Name863        Surname863     6.04                |    5.40
Name865        Surname865     6.40                |    7.20
Name87         Surname87      6.04                |    5.40
Name871        Surname871     6.12                |    5.80
Name872        Surname872     6.36                |    5.80
Name874        Surname874     4.60                |    5.00
Name879        Surname879     6.32                |    6.40
Name88         Surname88      7.32                |    7.40
Name885        Surname885     5.76                |    5.60
Name886        Surname886     6.08                |    6.00
Name887        Surname887     6.88                |    7.60
Name889        Surname889     5.80                |    5.80
Name893        Surname893     6.56                |    6.40
Name894        Surname894     4.76                |    5.00
Name895        Surname895     4.96                |    5.20
Name898        Surname898     6.92                |    7.00
Name899        Surname899     5.16                |    5.80
Name9          Surname9       7.04                |    7.20
Name900        Surname900     6.16                |    7.20
Name901        Surname901     5.04                |    4.80
Name906        Surname906     5.36                |    5.20
Name908        Surname908     6.04                |    6.20
Name910        Surname910     6.96                |    7.60
Name912        Surname912     5.04                |    5.60
Name913        Surname913     5.44                |    4.80
Name914        Surname914     6.40                |    6.40
Name916        Surname916     5.16                |    5.80
Name917        Surname917     7.64                |    7.40
Name920        Surname920     6.28                |    5.80
Name921        Surname921     7.20                |    8.00
Name922        Surname922     6.04                |    6.60
Name923        Surname923     5.32                |    6.20
Name926        Surname926     5.56                |    5.80
Name927        Surname927     7.32                |    7.80
Name93         Surname93      7.56                |    8.60
Name931        Surname931     8.12                |    8.20
Name933        Surname933     5.72                |    5.40
Name935        Surname935     7.64                |    7.80
Name937        Surname937     5.76                |    6.00
Name938        Surname938     5.20                |    5.20
Name939        Surname939     7.64                |    8.20
Name941        Surname941     6.44                |    7.40
Name943        Surname943     5.28                |    5.20
Name946        Surname946     5.20                |    5.20
Name947        Surname947     6.32                |    6.40
Name950        Surname950     5.56                |    6.20
Name951        Surname951     6.80                |    7.20
Name952        Surname952     5.80                |    6.20
Name954        Surname954     6.48                |    5.60
Name955        Surname955     6.96                |    7.20
Name960        Surname960     6.32                |    6.40
Name963        Surname963     4.72                |    5.20
Name965        Surname965     5.52                |    6.00
Name966        Surname966     7.32                |    7.80
Name967        Surname967     4.96                |    5.20
Name968        Surname968     7.04                |    7.20
Name969        Surname969     5.24                |    5.00
Name97         Surname97      5.32                |    5.40
Name970        Surname970     6.88                |    6.80
Name972        Surname972     4.76                |    5.00
Name974        Surname974     6.52                |    7.00
Name975        Surname975     6.16                |    6.80
Name979        Surname979     4.60                |    5.00
Name98         Surname98      5.56                |    5.40
Name980        Surname980     5.60                |    5.60
Name982        Surname982     5.96                |    6.20
Name983        Surname983     5.24                |    5.00
Name985        Surname985     4.92                |    5.40
Name986        Surname986     5.64                |    5.40
Name987        Surname987     6.92                |    7.00
Name988        Surname988     7.32                |    7.40
Name989        Surname989     6.72                |    7.20
Name990        Surname990     7.56                |    8.20
Name994        Surname994     6.20                |    5.80
Name995        Surname995     6.44                |    6.60
Name998        Surname998     7.48                |    7.40
